,level_0,sampleName,index,t,Date,Time,No.,ML,Temp.,PAR,F,Fo',Fm',~Fo',Y(II),NPQ,ETR,NPQown,PSII',qP,rETR
0,0,WT 1.1.1,0,3887945426,14.03.23,08:50:26,1,3,0.0,0,0.464,0.0,1.561,0.464,0.703,0.0,0.0,0.02049967969250477,0.700832799487508,-0.029250457038391256,0.0
1,1,WT 1.1.1,1,3887945456,14.03.23,08:50:56,2,3,0.0,5,0.485,0.0,1.574,0.465,0.692,0.0,1.5,0.012071156289707785,0.7033036848792884,-0.017163504968382932,3.516518424396442
2,2,WT 1.1.1,2,3887945486,14.03.23,08:51:26,3,3,0.0,8,0.502,0.0,1.591,0.467,0.684,0.0,2.3,0.0012570710245127792,0.7064739157762413,-0.001779359430604984,5.65179132620993
3,3,WT 1.1.1,3,3887945516,14.03.23,08:51:56,4,3,0.0,19,0.776,0.0,1.593,0.467,0.513,0.0,4.1,0.0,0.7068424356559949,0.0,13.430006277463903
4,4,WT 1.1.1,4,3887945546,14.03.23,08:52:26,5,3,0.0,32,0.816,0.0,1.56,0.464,0.477,0.0,6.4,0.02115384615384608,0.7006410256410256,-0.030192131747483916,22.42051282051282
5,5,WT 1.1.1,5,3887945576,14.03.23,08:52:56,6,3,0.0,58,0.847,0.0,1.531,0.461,0.447,0.02,10.9,0.04049640757674733,0.6949706074461136,-0.05827067669172938,40.30829523187459
6,6,WT 1.1.1,6,3887945606,14.03.23,08:53:26,7,3,0.0,124,0.919,0.0,1.465,0.455,0.373,0.066,19.4,0.08737201365187697,0.6812286689419795,-0.12825651302605198,84.47235494880546
7,7,WT 1.1.1,7,3887945636,14.03.23,08:53:56,8,3,0.0,178,0.927,0.0,1.344,0.443,0.31,0.161,23.2,0.18526785714285698,0.6525297619047619,-0.2839224629418471,116.1502976190476
8,8,WT 1.1.1,8,3887945666,14.03.23,08:54:26,9,3,0.0,245,0.879,0.0,1.168,0.422,0.247,0.336,25.5,0.3638698630136987,0.6001712328767123,-0.6062767475035665,147.0419520547945
9,9,WT 1.1.1,9,3887945696,14.03.23,08:54:56,10,3,0.0,351,0.797,0.0,0.975,0.394,0.183,0.601,26.9,0.633846153846154,0.5210256410256411,-1.2165354330708662,182.88000000000002
10,10,WT 1.1.1,10,3887945726,14.03.23,08:55:26,11,3,0.0,470,0.705,0.0,0.818,0.365,0.138,0.908,27.3,0.9474327628361858,0.42909535452322733,-2.2079772079772084,201.67481662591686
11,11,WT 1.1.1,11,3887945756,14.03.23,08:55:56,12,3,0.0,600,0.642,0.0,0.717,0.344,0.105,1.177,26.4,1.221757322175732,0.3486750348675034,-3.504000000000001,209.20502092050205
12,12,WT 1.1.1,12,3887945786,14.03.23,08:56:26,13,3,0.0,754,0.602,0.0,0.657,0.329,0.084,1.376,26.5,1.4246575342465753,0.289193302891933,-4.9263157894736835,218.0517503805175
13,13,WT 1.1.1,13,3887945816,14.03.23,08:56:56,14,3,0.0,906,0.577,0.0,0.618,0.319,0.066,1.526,25.2,1.5776699029126213,0.24433656957928798,-6.456953642384107,221.3689320388349
14,14,WT 1.1.1,14,3887945846,14.03.23,08:57:26,15,3,0.0,1314,0.561,0.0,0.586,0.31,0.043,1.664,23.5,1.718430034129693,0.20307167235494872,-8.462184873949585,266.83617747440263
